iter	Passed	Remaining
191	4857	20439
192	4882	20414
193	4905	20381
194	4933	20364
195	4959	20344
196	4988	20332
197	5016	20319
198	5054	20343
199	5092	20371
200	5128	20385
201	5153	20359
202	5182	20346
203	5206	20315
204	5235	20303
205	5263	20287
206	5288	20259
207	5313	20231
208	5336	20197
209	5366	20187
210	5387	20147
211	5410	20111
212	5436	20085
213	5463	20068
214	5489	20041
215	5513	20013
216	5539	19989
217	5563	19956
218	5586	19924
219	5614	19904
220	5644	19897
221	5679	19902
222	5711	19900
223	5741	19891
224	5768	19870
225	5794	19844
226	5821	19823
227	5847	19800
228	5876	19785
229	5902	19762
230	5927	19732
231	5954	19711
232	5980	19685
233	6008	19668
234	6032	19637
235	6058	19613
236	6086	19595
237	6112	19569
238	6138	19544
239	6165	19522
240	6193	19504
241	6217	19475
242	6244	19453
243	6267	19419
244	6293	19395
245	6323	19381
246	6349	19356
247	6375	19333
248	6404	19315
249	6430	19292
250	6464	19289
251	6501	19297
252	6533	19289
253	6567	19289
254	6600	19283
255	6631	19273
256	6662	19261
257	6691	19245
258	6717	19218
259	6740	19185
260	6770	19168
261	6791	19130
262	6817	19105
263	6840	19069
264	6866	19045
265	6891	19016
266	6914	18981
267	6938	18951
268	6966	18931
269	6993	18907
270	7023	18893
271	7047	18861
272	7078	18849
273	7105	18827
274	7132	18803
275	7160	18783
276	7185	18754
277	7212	18732
278	7239	18707
279	7262	18674
280	7288	18649
281	7314	18622
282	7342	18602
283	7365	18570
284	7390	18541
285	7417	18517
286	7442	18490
287	7466	18457
288	7494	18438
289	7526	18426
290	7556	18410
291	7589	18400
292	7616	18378
293	7642	18353
294	7673	18339
295	7703	18322
296	7729	18296
297	7756	18272
298	7781	18244
299	7808	18219
300	7836	18198
301	7864	18177
302	7888	18146
303	7913	18118
304	7936	18085
305	7963	18059
306	7990	18036
307	8018	18014
308	8047	17997
309	8076	17976
310	8103	17953
311	8131	17930
312	8159	17908
313	8185	17882
314	8211	17856
315	8239	17835
316	8266	17811
317	8296	17792
318	8321	17765
319	8352	17749
320	8380	17726
321	8411	17712
322	8442	17694
323	8475	17684
324	8508	17671
325	8537	17651
326	8569	17637
327	8601	17621
328	8633	17608
329	8664	17591
330	8694	17572
331	8721	17547
332	8748	17524
333	8781	17510
334	8812	17493
335	8841	17473
336	8871	17453
337	8898	17428
338	8926	17404
339	8956	17386
340	8981	17357
341	9008	17331
342	9038	17312
343	9065	17287
344	9097	17272
345	9128	17254
346	9161	17240
347	9191	17221
348	9222	17202
349	9255	17188
350	9289	17175
351	9317	17153
352	9348	17134
353	9376	17110
354	9409	17096
355	9437	17071
356	9465	17047
357	9494	17027
358	9524	17006
359	9555	16987
360	9583	16962
361	9613	16943
362	9644	16924
363	9671	16898
364	9700	16876
365	9730	16855
366	9760	16835
367	9796	16824
368	9836	16820
369	9877	16818
370	9909	16800
371	9939	16780
372	9965	16751
373	9992	16726
374	10020	16700
375	10045	16671
376	10077	16652
377	10109	16634
378	10140	16615
379	10172	16596
380	10204	16579
381	10233	16555
382	10260	16528
383	10287	16502
384	10312	16473
385	10340	16447
386	10369	16424
387	10404	16411
388	10434	16390
389	10465	16368
390	10489	16338
391	10514	16307
392	10546	16289
393	10583	16277
394	10621	16268
395	10651	16246
396	10681	16224
397	10713	16204
398	10744	16183
399	10775	16163
400	10805	16141
401	10832	16113
402	10866	16097
403	10899	16079
404	10938	16070
405	10972	16053
406	11006	16036
407	11041	16020
408	11071	15998
409	11097	15970
410	11131	15952
411	11161	15929
412	11204	15924
413	11255	15931
414	11299	15928
415	11331	15908
416	11363	15886
417	11396	15867
418	11433	15853
419	11470	15840
420	11510	15830
421	11542	15809
422	11576	15790
423	11611	15774
424	11652	15765
425	11700	15765
426	11741	15756
427	11775	15737
428	11810	15719
429	11841	15696
430	11867	15667
431	11902	15649
432	11931	15624
433	11967	15606
434	12001	15587
435	12034	15567
436	12065	15544
437	12096	15520
438	12126	15496
439	12156	15472
440	12183	15443
441	12212	15417
442	12242	15392
443	12266	15361
444	12295	15334
445	12324	15309
446	12350	15279
447	12389	15265
448	12419	15241
449	12447	15213
450	12480	15191
451	12508	15164
452	12536	15137
453	12563	15108
454	12596	15087
455	12631	15068
456	12657	15039
457	12687	15014
458	12715	14986
459	12746	14963
460	12778	14940
461	12808	14915
462	12840	14892
463	12868	14864
464	12897	14839
465	12926	14812
466	12956	14787
467	12984	14760
468	13015	14736
469	13042	14708
470	13070	14679
471	13097	14651
472	13122	14621
473	13151	14594
474	13175	14561
475	13199	14530
476	13226	14502
477	13256	14476
478	13289	14455
479	13322	14432
480	13356	14411
481	13390	14390
482	13427	14372
483	13466	14357
484	13503	14338
485	13534	14314
486	13568	14293
487	13603	14272
488	13634	14247
489	13667	14224
490	13696	14198
491	13733	14179
492	13764	14154
493	13792	14127
494	13826	14106
495	13863	14087
496	13896	14063
497	13930	14042
498	13955	14011
499	13983	13983
500	14014	13958
501	14041	13929
502	14065	13897
503	14095	13872
504	14125	13845
505	14154	13819
506	14183	13791
507	14213	13766
508	14239	13736
509	14265	13705
510	14295	13680
511	14326	13654
512	14359	13631
513	14386	13602
514	14414	13574
515	14442	13546
516	14472	13520
517	14498	13490
518	14528	13464
519	14558	13438
520	14585	13409
521	14619	13387
522	14649	13360
523	14683	13338
524	14712	13311
525	14739	13282
526	14766	13253
527	14792	13223
528	14817	13192
529	14844	13163
530	14874	13137
531	14899	13107
532	14925	13076
533	14959	13054
534	14989	13028
535	15017	13000
536	15048	12974
537	15077	12947
538	15104	12918
539	15134	12892
540	15164	12866
541	15197	12842
542	15224	12813
543	15249	12782
544	15276	12753
545	15303	12725
546	15332	12697
547	15364	12672
548	15397	12648
549	15425	12620
550	15454	12593
551	15480	12563
552	15509	12536
553	15536	12507
554	15565	12480
555	15593	12452
556	15631	12432
557	15668	12411
558	15700	12386
559	15729	12359
560	15755	12329
561	15782	12300
562	15813	12274
563	15842	12246
564	15869	12218
565	15900	12192
566	15926	12162
567	15954	12134
568	15982	12106
569	16006	12075
570	16041	12052
571	16075	12028
572	16105	12001
573	16139	11978
574	16172	11953
575	16206	11929
576	16239	11905
577	16268	11877
578	16294	11847
579	16324	11821
580	16354	11794
581	16381	11765
582	16408	11736
583	16435	11707
584	16453	11671
585	16482	11644
586	16509	11615
587	16539	11588
588	16568	11561
589	16599	11535
590	16626	11506
591	16657	11479
592	16683	11450
593	16712	11423
594	16740	11394
595	16767	11366
596	16794	11337
597	16821	11308
598	16848	11279
599	16876	11251
600	16911	11227
601	16939	11199
602	16971	11173
603	16998	11144
604	17029	11118
605	17066	11096
606	17105	11074
607	17143	11052
608	17182	11031
609	17218	11008
610	17249	10982
611	17279	10954
612	17305	10925
613	17332	10896
614	17362	10869
615	17386	10838
616	17412	10808
617	17438	10779
618	17466	10750
619	17492	10721
620	17519	10692
621	17544	10661
622	17570	10632
623	17595	10602
624	17632	10579
625	17667	10555
626	17712	10537
627	17756	10517
628	17788	10492
629	17819	10465
630	17846	10436
631	17874	10408
632	17903	10379
633	17933	10352
634	17960	10324
635	17987	10295
636	18012	10264
637	18041	10236
638	18068	10207
639	18094	10177
640	18120	10148
641	18146	10119
642	18174	10090
643	18198	10059
644	18228	10032
645	18255	10003
646	18284	9975
647	18309	9945
648	18339	9918
649	18370	9891
650	18398	9863
651	18430	9836
652	18462	9810
653	18491	9783
654	18518	9754
655	18545	9725
656	18574	9697
657	18599	9667
658	18623	9636
659	18651	9608
660	18678	9579
661	18703	9549
662	18731	9521
663	18759	9492
664	18786	9464
665	18814	9435
666	18839	9405
667	18864	9375
668	18892	9347
669	18917	9317
670	18946	9289
671	18973	9261
672	18998	9230
673	19026	9202
674	19055	9174
675	19084	9146
676	19110	9117
677	19138	9089
678	19164	9060
679	19192	9031
680	19217	9001
681	19247	8974
682	19285	8951
683	19322	8926
684	19354	8900
685	19384	8872
686	19412	8844
687	19441	8816
688	19467	8786
689	19494	8758
690	19518	8728
691	19544	8698
692	19567	8668
693	19594	8639
694	19622	8611
695	19650	8583
696	19681	8555
697	19713	8529
698	19745	8502
699	19778	8476
700	19814	8451
701	19852	8427
702	19894	8404
703	19928	8379
704	19956	8350
705	19986	8323
706	20012	8293
707	20040	8265
708	20065	8235
709	20091	8206
710	20119	8177
711	20146	8149
712	20175	8121
713	20208	8094
714	20239	8067
715	20273	8041
716	20307	8015
717	20342	7989
718	20369	7960
719	20400	7933
720	20424	7903
721	20455	7876
722	20485	7848
723	20517	7821
724	20545	7793
725	20574	7764
726	20602	7736
727	20634	7709
728	20665	7682
729	20695	7654
730	20723	7626
731	20752	7597
732	20779	7568
733	20804	7539
734	20831	7510
735	20858	7481
736	20882	7451
737	20909	7423
738	20937	7394
739	20967	7367
740	20999	7339
741	21027	7311
742	21051	7281
743	21078	7252
744	21101	7222
745	21130	7194
746	21162	7167
747	21193	7139
748	21225	7113
749	21253	7084
750	21271	7052
751	21306	7026
752	21338	6999
753	21366	6971
754	21399	6944
755	21432	6917
756	21463	6889
757	21493	6861
758	21520	6833
759	21547	6804
760	21581	6777
761	21614	6750
762	21643	6722
763	21676	6695
764	21705	6667
765	21738	6640
766	21762	6611
767	21790	6582
768	21820	6554
769	21853	6527
770	21880	6498
771	21915	6472
772	21946	6444
773	21976	6416
774	22004	6388
775	22031	6359
776	22064	6332
777	22093	6304
778	22122	6276
779	22151	6247
780	22181	6219
781	22206	6190
782	22232	6161
783	22260	6132
784	22291	6105
785	22323	6077
786	22357	6051
787	22387	6023
788	22418	5995
789	22450	5967
790	22477	5938
791	22503	5909
792	22534	5882
793	22567	5854
794	22594	5826
795	22625	5798
796	22659	5771
797	22687	5742
798	22719	5715
799	22748	5687
800	22778	5659
801	22809	5631
802	22838	5603
803	22873	5576
804	22904	5548
805	22934	5520
806	22963	5491
807	22992	5463
808	23018	5434
809	23049	5406
810	23076	5377
811	23106	5349
812	23134	5321
813	23163	5292
814	23194	5264
815	23222	5236
816	23251	5208
817	23278	5179
818	23311	5151
819	23338	5123
820	23372	5095
821	23406	5068
822	23440	5041
823	23468	5012
824	23501	4985
825	23531	4956
826	23554	4927
827	23588	4900
828	23622	4872
829	23655	4845
830	23678	4815
831	23706	4786
832	23735	4758
833	23765	4730
834	23797	4702
835	23831	4675
836	23857	4646
837	23887	4617
838	23916	4589
839	23947	4561
840	23981	4533
841	24011	4505
842	24045	4478
843	24071	4449
844	24102	4421
845	24131	4392
846	24163	4364
847	24196	4337
848	24226	4308
849	24256	4280
850	24287	4252
851	24322	4224
852	24350	4196
853	24378	4167
854	24407	4139
855	24440	4111
856	24472	4083
857	24506	4055
858	24536	4027
859	24566	3999
860	24598	3971
861	24626	3942
862	24668	3916
863	24703	3888
864	24742	3861
865	24774	3833
866	24807	3805
867	24840	3777
868	24871	3749
869	24894	3719
870	24921	3691
871	24955	3663
872	24989	3635
873	25019	3606
874	25048	3578
875	25082	3550
876	25113	3522
877	25147	3494
878	25180	3466
879	25207	3437
880	25236	3408
881	25267	3380
882	25297	3352
883	25327	3323
884	25357	3295
885	25388	3266
886	25418	3238
887	25453	3210
888	25489	3182
889	25519	3154
890	25548	3125
891	25582	3097
892	25620	3069
893	25651	3041
894	25688	3013
895	25720	2985
896	25749	2956
897	25778	2928
898	25807	2899
899	25836	2870
900	25865	2842
901	25895	2813
902	25927	2785
903	25957	2756
904	25987	2727
905	26017	2699
906	26048	2670
907	26082	2642
908	26117	2614
909	26149	2586
910	26177	2557
911	26206	2528
912	26241	2500
913	26272	2472
914	26302	2443
915	26329	2414
916	26358	2385
917	26384	2356
918	26419	2328
919	26463	2301
920	26511	2274
921	26551	2246
922	26590	2218
923	26623	2189
924	26664	2161
925	26709	2134
926	26757	2107
927	26802	2079
928	26855	2052
929	26895	2024
930	26933	1996
931	26996	1969
932	27034	1941
933	27069	1912
934	27113	1884
935	27144	1856
936	27176	1827
937	27205	1798
938	27235	1769
939	27264	1740
940	27292	1711
941	27318	1682
942	27343	1652
943	27372	1623
944	27399	1594
945	27434	1566
946	27472	1537
947	27509	1508
948	27549	1480
949	27584	1451
950	27621	1423
951	27656	1394
952	27686	1365
953	27714	1336
954	27743	1307
955	27770	1278
956	27797	1248
957	27825	1219
958	27858	1191
959	27890	1162
960	27927	1133
961	27963	1104
962	27998	1075
963	28032	1046
964	28069	1018
965	28112	989
966	28150	960
967	28187	931
968	28214	902
969	28247	873
970	28281	844
971	28311	815
972	28338	786
973	28366	757
974	28397	728
975	28422	698
976	28451	669
977	28479	640
978	28505	611
979	28538	582
980	28568	553
981	28594	524
982	28622	494
983	28652	465
984	28685	436
985	28727	407
986	28761	378
987	28797	349
988	28832	320
989	28866	291
990	28899	262
991	28930	233
992	28960	204
993	28983	174
994	29013	145
995	29041	116
996	29072	87
997	29100	58
998	29135	29
999	29164	0
